Title,Date,ID,Comment,Comment_date,Channel,Like,Dislike,Comment_like
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,이동우,변호사 누나 왜케 화났음 ㅋㅋㅋㅋ 맘에 드네 ㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,5
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,쉬엄쉬엄천천히,최진봉 ㅋㅋㅋㅋㅋ전지현 변호사 션하게 말잘한다,2주 전(수정됨),채널A 뉴스,2.6천,56,17
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,심종빈,4:00 20대 남성이 원하는 것 남녀평등과 패미를 위한 법들이 없어 지는것,2주 전,채널A 뉴스,2.6천,56,27
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,ms G,전지현 변호사님 폭주해버리시네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,사슴,이로서 20대 남자들이 얼마나 합리적인지 알 수 있게 되었구나. 반대로 20대 여자는 에휴.. 말을 말자,2주 전,채널A 뉴스,2.6천,56,231
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,에이레네,3:45 전지현 변호사님 폭주기관차 팩폭 헤으응,1일 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,신무근,20대 지지율만 높은게 아니라 투포율 자체도 올랐던데 이걸로 20대 목소리가 정치인들에게 닿았으면 좋겠다.,2주 전,채널A 뉴스,2.6천,56,4
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,샘숭,3:23 왕토형 ..? 형이왜 거기서나와 ?,1주 전,채널A 뉴스,2.6천,56,5
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,히히,180석 먹혔을땐 견제받고 구석에 박혀있다가시장자리 2개 먹으면서 민심 확인하고 자세 낮추면서 텐션 끌어올리네ㅋㅋㅋㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,4
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,장병모,이제야 나라가 제대로 가는느낌~^,2주 전,채널A 뉴스,2.6천,56,51
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,머머리댕댕이,전지현 변호사 이름도 좋고 최고네요 속이시원합니다,2주 전,채널A 뉴스,2.6천,56,9
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,제갈량,"전지현 변호사, 요점정리 깔끔하게 잘 해주셨습니다.",2주 전,채널A 뉴스,2.6천,56,6
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,그에엥,어우야 전지현 변호사님 진짜 말 잘하신다 ㄷㄷ;;; 개멋있어..,1주 전,채널A 뉴스,2.6천,56,1
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,trust,겸손한 승자코스프레,2주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,jongsoon Park,진봉아 그냥 주둥아리 ...,2주 전,채널A 뉴스,2.6천,56,55
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,7even 4our,오세훈 찍어준 여자들 너무 고맙다 이기야...사랑한다!,1주 전,채널A 뉴스,2.6천,56,3
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Bani pam,3년만에 민심이 뒤집힌것보다 3년이나 헤먹었는데도 민심을 못지킨거ㅋㅋㅋ,2주 전,채널A 뉴스,2.6천,56,7
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,윤준희,지연좌 말이 물 흐르듯 좔좔좔좔 팩트로 딜 ㅈㄴ 잘 박으시네ㅋㅋㅋㅋㅋㅋ지금까지 언론에서 전문가 부른 거 본 것 중에서 제일 말 잘하는듯,1주 전,채널A 뉴스,2.6천,56,3
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,조용필올리버칸추신수,3년만에 저런 변화를 끌어낸것도 어메이징 하다 ㅋㅋㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,2
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,구름나그네,쭉 대선까지가자,2주 전,채널A 뉴스,2.6천,56,55
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,ᄋᄋ,3:56 사이다 시작,1일 전,채널A 뉴스,2.6천,56,0
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,김숙자,20대들에게  고맙고  감사합니다  암울한  우리시대 희망입니다,2주 전,채널A 뉴스,2.6천,56,3
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,성욱강,내가 말년병장일때가박씨 하야했을때였음당시 문후보는 등록금반값공약을 내세웠었음시발 졸업했고 지금 취업까지했는데 아직도 안함 ㅋㅋㅋㅋㅋ,1주 전,채널A 뉴스,2.6천,56,39
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,Novel,3:22 빛 토,1주 전,채널A 뉴스,2.6천,56,14
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,파란지붕 속에 빨간 놈.,나는 보았다서울.부산에서 잘 지어진빨간벌집 그래서 행복했다 ~~~~~~~끝~~~~~~~~,2주 전,채널A 뉴스,2.6천,56,100
재보선 민심은 41:0…정점 찍은 2030의 분노 | 뉴스A 라이브,2021. 4. 7.,황기훈,진봉이 부들부들 떠는거보는 낙으로 산다.......................! 아이 좋 ㄷ ㅏ ~~ ~ ㅇ ㅏ ~~ ~ 좋 ㄷ ㅏ ~ ~!~!~!~ 부들 부들,2주 전,채널A 뉴스,2.6천,56,3
